date,SOX,TWII,DXY,USDTWD,US10Y,VIX,NASDAQ,ETF0050,top5_net,top10_net
2016-01-01,,,,32.06700134277344,,,,,,
2016-01-04,656.280029296875,8114.22216796875,98.87000274658203,32.058998107910156,2.244999885559082,20.700000762939453,4903.08984375,10.816450119018555,999998.0,-125.0
2016-01-05,649.469970703125,8075.072265625,99.4000015258789,32.4640007019043,2.247999906539917,19.34000015258789,4891.43017578125,10.725630760192871,999998.0,-148.0
2016-01-06,631.2000122070312,7990.3525390625,99.18000030517578,32.24599838256836,2.177000045776367,20.59000015258789,4835.759765625,10.616650581359863,999998.0,-202.0
2016-01-07,610.25,7852.0234375,98.22000122070312,33.44200134277344,2.1530001163482666,24.989999771118164,4689.43017578125,10.416849136352539,999998.0,-226.0
2016-01-08,600.47998046875,7893.93310546875,98.54000091552734,32.23400115966797,2.130000114440918,27.010000228881836,4643.6298828125,10.435012817382812,999998.0,-156.0
2016-01-11,603.5499877929688,7788.38427734375,98.7300033569336,32.20100021362305,2.1579999923706055,24.299999237060547,4637.990234375,10.271539688110352,999998.0,-139.0
2016-01-12,608.5599975585938,7768.41455078125,98.97000122070312,32.558998107910156,2.1019999980926514,22.469999313354492,4685.919921875,10.262456893920898,999998.0,-102.0
2016-01-13,589.47998046875,7824.57373046875,98.93000030517578,33.650001525878906,2.065999984741211,25.219999313354492,4526.06005859375,10.380521774291992,999998.0,-100.0
2016-01-14,601.5700073242188,7742.84423828125,99.08999633789062,33.612998962402344,2.0980000495910645,23.950000762939453,4615.0,10.298785209655762,999998.0,-187.0
2016-01-15,574.2899780273438,7761.97412109375,98.95999908447266,33.72800064086914,2.0329999923706055,27.020000457763672,4488.419921875,10.298785209655762,999998.0,-181.0
2016-01-18,,7811.14453125,99.12000274658203,32.67499923706055,,,,10.371439933776855,999998.0,-199.0
2016-01-19,575.1799926757812,7854.84326171875,98.98999786376953,32.64500045776367,2.0350000858306885,26.049999237060547,4476.9501953125,10.398686408996582,999998.0,-203.0
2016-01-20,578.9400024414062,7699.0849609375,99.08999633789062,32.444000244140625,1.9839999675750732,27.59000015258789,4471.68994140625,10.153477668762207,999998.0,-61.0
2016-01-21,587.5599975585938,7663.974609375,99.05999755859375,32.91600036621094,2.0190000534057617,26.690000534057617,4472.06005859375,10.135311126708984,999998.0,-35.0
2016-01-22,598.4199829101562,7756.14453125,99.56999969482422,32.94599914550781,2.0480000972747803,22.34000015258789,4591.18017578125,10.271539688110352,999998.0,-51.0
2016-01-25,589.8099975585938,7894.11279296875,99.36000061035156,32.641998291015625,2.0220000743865967,24.149999618530273,4518.490234375,10.453177452087402,999998.0,-145.0
2016-01-26,595.8599853515625,7828.6337890625,99.36000061035156,32.47800064086914,1.99399995803833,22.5,4567.669921875,10.353275299072266,999998.0,-117.0
2016-01-27,588.6799926757812,7849.7939453125,98.9000015258789,32.45100021362305,2.000999927520752,23.110000610351562,4468.169921875,10.398686408996582,999998.0,-156.0
2016-01-28,586.8499755859375,7905.06298828125,98.51000213623047,32.595001220703125,1.9850000143051147,22.420000076293945,4506.68017578125,10.453177452087402,999998.0,-149.0
2016-01-29,613.6799926757812,8080.5625,99.61000061035156,32.60599899291992,1.930999994277954,20.200000762939453,4613.9501953125,10.716547966003418,999998.0,-71.0
2016-02-01,616.5999755859375,8156.92236328125,99.0,32.79899978637695,1.965999960899353,19.979999542236328,4620.3701171875,10.816450119018555,999998.0,-74.0
2016-02-02,595.7000122070312,8131.20263671875,98.87000274658203,32.43000030517578,1.8639999628067017,21.979999542236328,4516.9501953125,10.780122756958008,999998.0,-148.0
2016-02-03,597.1099853515625,8062.96533203125,97.29000091552734,32.571998596191406,1.88100004196167,21.649999618530273,4504.240234375,10.707468032836914,999998.0,-80.0
2016-02-04,607.719970703125,,96.47000122070312,32.16699981689453,1.8639999628067017,21.84000015258789,4509.56005859375,,,
2016-02-05,586.25,,97.02999877929688,33.0629997253418,1.8480000495910645,23.3799991607666,4363.14013671875,,,
2016-02-08,571.4500122070312,,96.56999969482422,33.50699996948242,1.7350000143051147,26.0,4283.75,,,
2016-02-09,567.989990234375,,96.06999969482422,33.50699996948242,1.7289999723434448,26.540000915527344,4268.759765625,,,
2016-02-10,563.6500244140625,,95.88999938964844,32.19200134277344,1.7050000429153442,26.290000915527344,4283.58984375,,,
2016-02-11,559.1799926757812,,95.55999755859375,32.95399856567383,1.6440000534057617,28.139999389648438,4266.83984375,,,
2016-02-12,571.9000244140625,,95.9800033569336,32.13600158691406,1.7480000257492065,25.399999618530273,4337.509765625,,,
2016-02-15,,8066.484375,,32.1879997253418,,,,10.716547966003418,999998.0,-76.0
2016-02-16,591.9299926757812,8212.04296875,96.87000274658203,33.39899826049805,1.777999997138977,24.110000610351562,4435.9599609375,10.943594932556152,999998.0,-209.0
2016-02-17,606.0499877929688,8214.22265625,96.79000091552734,33.439998626708984,1.819000005722046,22.309999465942383,4534.06005859375,10.889102935791016,999998.0,-212.0
2016-02-18,602.52001953125,8314.642578125,96.94999694824219,33.4900016784668,1.7589999437332153,21.639999389648438,4487.5400390625,11.061656951904297,999998.0,-221.0
2016-02-19,605.4600219726562,8325.0126953125,96.5999984741211,32.308998107910156,1.7480000257492065,20.530000686645508,4504.43017578125,11.052577018737793,999998.0,-214.0
2016-02-22,615.0,8326.65234375,97.37999725341797,32.30799865722656,1.7660000324249268,19.3799991607666,4570.60986328125,11.043495178222656,999998.0,-150.0
2016-02-23,604.8699951171875,8334.6123046875,97.4800033569336,32.3380012512207,1.7450000047683716,20.979999542236328,4503.580078125,11.052577018737793,999998.0,-82.0
2016-02-24,613.3400268554688,8282.8330078125,97.45999908447266,33.47200012207031,1.7419999837875366,20.719999313354492,4542.60986328125,10.952674865722656,999998.0,21.0
2016-02-25,621.0700073242188,8365.8330078125,97.29000091552734,32.301998138427734,1.6970000267028809,19.110000610351562,4582.2001953125,11.09798526763916,999998.0,-6.0
2016-02-26,624.6500244140625,8411.1328125,98.1500015258789,32.31100082397461,1.7619999647140503,19.809999465942383,4590.47021484375,11.125232696533203,999998.0,-31.0
2016-02-29,622.1099853515625,,98.20999908447266,32.58300018310547,1.7400000095367432,20.549999237060547,4557.9501953125,,,
2016-03-01,639.9000244140625,8485.6630859375,98.3499984741211,32.39099884033203,1.8339999914169312,17.700000762939453,4689.60009765625,11.234214782714844,999998.0,-91.0
2016-03-02,643.3099975585938,8544.0224609375,98.20999908447266,32.22100067138672,1.8480000495910645,17.09000015258789,4703.419921875,11.325032234191895,999998.0,-83.0
2016-03-03,643.8900146484375,8611.7626953125,97.56999969482422,33.356998443603516,1.8300000429153442,16.700000762939453,4707.419921875,11.434012413024902,999998.0,-39.0
2016-03-04,650.6199951171875,8643.5224609375,97.33999633789062,31.791000366210938,1.8830000162124634,16.860000610351562,4717.02001953125,11.461257934570312,999998.0,-54.0
2016-03-07,652.6799926757812,8659.5224609375,97.06999969482422,31.76799964904785,1.9019999504089355,17.350000381469727,4708.25,11.461257934570312,999998.0,74.0
2016-03-08,638.010009765625,8664.2822265625,97.20999908447266,32.994998931884766,1.8320000171661377,18.670000076293945,4648.81982421875,11.45217514038086,999998.0,412.0
2016-03-09,643.27001953125,8634.0830078125,97.16999816894531,31.908000946044922,1.8919999599456787,18.34000015258789,4674.3798828125,11.461257934570312,999998.0,412.0
2016-03-10,646.5800170898438,8660.6728515625,96.06999969482422,33.20800018310547,1.9290000200271606,18.049999237060547,4662.16015625,11.488504409790039,999998.0,392.0
2016-03-11,659.1400146484375,8706.1123046875,96.16999816894531,33.071998596191406,1.9769999980926514,16.5,4748.47021484375,11.542996406555176,999998.0,507.0
2016-03-14,656.3499755859375,8747.873046875,96.62000274658203,31.68600082397461,1.9630000591278076,16.920000076293945,4750.27978515625,11.624731063842773,999998.0,508.0
2016-03-15,655.4099731445312,8611.15234375,96.62999725341797,31.798999786376953,1.9589999914169312,16.84000015258789,4728.669921875,11.45217514038086,999998.0,437.0
2016-03-16,661.1900024414062,8699.1123046875,95.88999938964844,32.90999984741211,1.937999963760376,14.989999771118164,4763.97021484375,11.552075386047363,999998.0,-81.0
2016-03-17,665.9500122070312,8734.5126953125,94.76000213623047,31.60099983215332,1.902999997138977,14.4399995803833,4774.990234375,11.67922306060791,999998.0,-102.0
2016-03-18,675.030029296875,8810.6826171875,94.98999786376953,32.698001861572266,1.871000051498413,14.020000457763672,4795.64990234375,11.751875877380371,999998.0,-122.0
2016-03-21,675.9600219726562,8812.6728515625,95.29000091552734,31.486000061035156,1.9229999780654907,13.789999961853027,4808.8701171875,11.733712196350098,999998.0,-25.0
2016-03-22,675.2999877929688,8785.65234375,95.6500015258789,32.5359992980957,1.934999942779541,14.170000076293945,4821.66015625,11.6973876953125,999998.0,58.0
2016-03-23,666.4600219726562,8766.0625,96.05000305175781,32.518001556396484,1.875,14.9399995803833,4768.85986328125,11.68830394744873,999998.0,78.0
2016-03-24,666.1400146484375,8743.3525390625,96.13999938964844,32.612998962402344,1.899999976158142,14.739999771118164,4773.5,11.68830394744873,999998.0,123.0
2016-03-25,,8704.9423828125,,32.71500015258789,,,,11.63381576538086,999998.0,120.0
2016-03-28,665.2100219726562,8690.4228515625,95.94000244140625,32.75699996948242,1.8700000047683716,15.239999771118164,4766.7900390625,11.642895698547363,999998.0,122.0
2016-03-29,674.1400146484375,8617.322265625,95.16000366210938,32.70899963378906,1.8140000104904175,13.819999694824219,4846.6201171875,11.56116008758545,999998.0,71.0
2016-03-30,680.7899780273438,8737.0126953125,94.83999633789062,32.68299865722656,1.8300000429153442,13.5600004196167,4869.2900390625,11.751875877380371,999998.0,84.0
2016-03-31,676.8900146484375,8744.802734375,94.58999633789062,32.4119987487793,1.7860000133514404,13.949999809265137,4869.85009765625,11.742796897888184,999998.0,60.0
2016-04-01,681.5900268554688,8657.5224609375,94.62000274658203,32.270999908447266,1.7920000553131104,13.100000381469727,4914.5400390625,11.606568336486816,999998.0,93.0
2016-04-04,675.3900146484375,,94.51000213623047,32.3650016784668,1.7790000438690186,14.119999885559082,4891.7998046875,,,
