date,SOX,TWII,DXY,USDTWD,US10Y,VIX,NASDAQ,ETF0050,foreign_net_bil,invest_net_bil,dealer_net_bil,margin_balance,short_balance,top5_net,top10_net
2021-01-01,,,,28.078699111938477,,,,,,,,,,,
2021-01-04,2783.2099609375,14902.0302734375,89.87999725341797,28.054000854492188,0.9169999957084656,26.969999313354492,12698.4501953125,26.407827377319336,,,,8817937.0,1164523.0,999998.0,0.0
2021-01-05,2837.169921875,15000.0302734375,89.44000244140625,28.10099983215332,0.9549999833106995,25.34000015258789,12818.9599609375,26.460918426513672,,,,8870760.0,1167692.0,999998.0,0.0
2021-01-06,2827.9599609375,14983.1298828125,89.52999877929688,27.954999923706055,1.0420000553131104,25.06999969482422,12740.7900390625,26.747617721557617,,,,8837130.0,1147922.0,999998.0,2.0
2021-01-07,2937.0,15214.0,89.83000183105469,27.829999923706055,1.0709999799728394,22.3700008392334,13067.48046875,27.374094009399414,,,,8728062.0,1122519.0,999998.0,5.0
2021-01-08,2936.469970703125,15463.9501953125,90.0999984741211,27.926799774169922,1.1050000190734863,21.559999465942383,13201.98046875,27.862539291381836,,,,8758213.0,1112869.0,999998.0,36.0
2021-01-11,2969.919921875,15557.2998046875,90.54000091552734,28.017000198364258,1.1319999694824219,24.079999923706055,13036.4296875,28.096149444580078,,,,8801350.0,1103821.0,999998.0,36.0
2021-01-12,2988.02001953125,15500.7001953125,90.05000305175781,28.020700454711914,1.1380000114440918,23.329999923706055,13072.4296875,28.053672790527344,,,,8881743.0,1109062.0,999998.0,36.0
2021-01-13,2991.949951171875,15769.98046875,90.31999969482422,27.97800064086914,1.0880000591278076,22.209999084472656,13128.9501953125,28.733245849609375,,,,8737828.0,1090541.0,999998.0,15.0
2021-01-14,3055.639892578125,15707.1904296875,90.23999786376953,28.01799964904785,1.128999948501587,23.25,13112.6396484375,28.46778678894043,,,,8813923.0,1086054.0,999998.0,12.0
2021-01-15,2992.77001953125,15616.3896484375,90.77999877929688,27.986900329589844,1.097000002861023,24.34000015258789,12998.5,28.5633544921875,,,,8810230.0,1084944.0,999998.0,14.0
2021-01-18,,15612.0,,27.9822998046875,,,,28.542116165161133,,,,8787766.0,1066165.0,999998.0,22.0
2021-01-19,3093.320068359375,15877.3701171875,90.5,27.982200622558594,1.0920000076293945,23.239999771118164,13197.1796875,29.296018600463867,,,,8799144.0,1059069.0,999998.0,22.0
2021-01-20,3085.0400390625,15806.1796875,90.47000122070312,27.915000915527344,1.090000033378601,21.579999923706055,13457.25,29.34910774230957,,,,8830320.0,1068133.0,999998.0,12.0
2021-01-21,3132.169921875,16153.76953125,90.12999725341797,27.889999389648438,1.1089999675750732,21.31999969482422,13530.91015625,30.368473052978516,,,,8649974.0,1030933.0,999998.0,-1.0
2021-01-22,3074.39990234375,16019.0302734375,90.23999786376953,27.958799362182617,1.090999960899353,21.90999984741211,13543.0595703125,29.825984954833984,,,,8585968.0,1042278.0,999998.0,-27.0
2021-01-25,3079.2099609375,15946.5400390625,90.38999938964844,27.95159912109375,1.0399999618530273,23.190000534057617,13635.990234375,29.424549102783203,,,,8619732.0,1055594.0,999998.0,27.0
2021-01-26,3031.77001953125,15658.849609375,90.16999816894531,27.920000076293945,1.0399999618530273,23.020000457763672,13626.0595703125,28.827810287475586,,,,8581743.0,1007450.0,999998.0,27.0
2021-01-27,2875.1298828125,15701.4501953125,90.6500015258789,27.917999267578125,1.0140000581741333,37.209999084472656,13270.599609375,28.871206283569336,,,,8554806.0,970085.0,999998.0,25.0
2021-01-28,2935.1201171875,15415.8798828125,90.45999908447266,27.933000564575195,1.0570000410079956,30.209999084472656,13337.16015625,28.285320281982422,,,,8626480.0,976504.0,999998.0,8.0
2021-01-29,2887.080078125,15138.3095703125,90.58000183105469,27.932600021362305,1.093000054359436,33.09000015258789,13070.6904296875,27.81877899169922,,,,8566115.0,916124.0,999998.0,8.0
2021-02-01,2999.989990234375,15410.08984375,91.0199966430664,28.000999450683594,1.0770000219345093,30.239999771118164,13403.3896484375,28.372116088867188,1968.18649,0.0,324.88,8518056.0,913612.0,999998.0,46.0
2021-02-02,3047.330078125,15760.0498046875,91.19999694824219,27.950300216674805,1.1050000190734863,25.559999465942383,13612.7802734375,29.17499351501465,497.03219,0.0,368.05,8482661.0,826071.0,999998.0,47.0
2021-02-03,2982.8701171875,15771.3203125,91.12000274658203,27.857999801635742,1.13100004196167,22.90999984741211,13610.5400390625,29.15330696105957,2868.95251,0.0,253.04,8495471.0,818468.0,999998.0,44.0
2021-02-04,3008.419921875,15706.2197265625,91.52999877929688,27.86400032043457,1.1390000581741333,21.770000457763672,13777.740234375,28.97970199584961,-1209.13405,0.0,309.81,8490398.0,825997.0,999998.0,-8.0
2021-02-05,2985.010009765625,15802.400390625,91.04000091552734,27.90290069580078,1.1699999570846558,20.8700008392334,13856.2998046875,29.250947952270508,619.8303,0.0,264.66,,,999998.0,-7.0
2021-02-08,3078.47998046875,,90.93000030517578,27.973600387573242,1.159999966621399,21.239999771118164,13987.6396484375,,,,,,,,
2021-02-09,3064.949951171875,,90.44000244140625,27.88089942932129,1.156999945640564,21.6299991607666,14007.7001953125,,,,,,,,
2021-02-10,3074.860107421875,,90.37000274658203,27.853900909423828,1.1330000162124634,21.989999771118164,13972.5302734375,,,,,,,,
2021-02-11,3180.840087890625,,90.41999816894531,27.961299896240234,1.1579999923706055,21.25,14025.76953125,,,,,,,,
2021-02-12,3219.8701171875,,90.4800033569336,27.943099975585938,1.2000000476837158,19.969999313354492,14095.4697265625,,,,,,,,
2021-02-15,,,,28.014999389648438,,,,,,,,,,,
2021-02-16,3238.919921875,,90.51000213623047,27.993999481201172,1.2990000247955322,21.459999084472656,14047.5,,,,,,,,
2021-02-17,3178.239990234375,16362.2900390625,90.94999694824219,28.040000915527344,1.3009999990463257,21.5,13965.490234375,30.49867057800293,5284.73445,0.0,337.08837,8290328.0,831027.0,999998.0,34.0
2021-02-18,3146.7900390625,16424.509765625,90.58999633789062,27.918699264526367,1.2869999408721924,22.489999771118164,13865.3603515625,30.45527458190918,992.14549,0.0,367.7642,8360961.0,849749.0,999998.0,34.0
2021-02-19,3223.4599609375,16341.3798828125,90.36000061035156,27.86079978942871,1.3450000286102295,22.049999237060547,13874.4599609375,30.129779815673828,-1526.07921,0.1,272.08405,8473278.0,857963.0,999998.0,-18.0
2021-02-22,3102.010009765625,16410.16015625,90.01000213623047,27.907800674438477,1.3700000047683716,23.450000762939453,13533.0498046875,30.11892318725586,359.67911,0.0,387.01,8589153.0,867902.0,999998.0,20.0
2021-02-23,3083.8798828125,16443.400390625,90.16999816894531,27.80940055847168,1.3619999885559082,23.110000610351562,13465.2001953125,30.053829193115234,2335.80628,95.09,382.31398,8699748.0,887121.0,999998.0,-31.0
2021-02-24,3183.739990234375,16212.5302734375,90.18000030517578,27.850200653076172,1.3890000581741333,21.34000015258789,13597.9697265625,29.608991622924805,-2068.07905,0.0,673.34,8782342.0,892059.0,999998.0,-30.0
2021-02-25,2999.159912109375,16452.1796875,90.12999725341797,27.649999618530273,1.5180000066757202,28.889999389648438,13119.4296875,29.84768295288086,8589.167,0.0,325.59,8803198.0,891513.0,999998.0,3.0
2021-02-26,3067.6201171875,15953.7998046875,90.93000030517578,27.764999389648438,1.4600000381469727,27.950000762939453,13192.349609375,28.94715118408203,-11329.87682,4.33349,-298.74069,8887236.0,922806.0,999998.0,36.0
2021-03-01,3169.110107421875,,91.04000091552734,27.854999542236328,1.4459999799728394,23.350000381469727,13588.830078125,,,,,,,,
2021-03-02,3070.93994140625,15946.8798828125,90.79000091552734,27.819000244140625,1.4149999618530273,24.100000381469727,13358.7900390625,28.9580020904541,-1793.81809,-0.4,442.63888,8892800.0,927688.0,999998.0,25.0
2021-03-03,2975.580078125,16211.73046875,90.94999694824219,27.739999771118164,1.4700000286102295,26.670000076293945,12997.75,29.38114356994629,3424.47411,0.0,350.88,8813981.0,933530.0,999998.0,25.0
2021-03-04,2831.6298828125,15906.41015625,91.62999725341797,27.719999313354492,1.5499999523162842,28.56999969482422,12723.4697265625,28.80610466003418,-5321.8875,0.0,584.60107,8881344.0,929364.0,999998.0,30.0
2021-03-05,2920.75,15855.23046875,91.9800033569336,27.812999725341797,1.5540000200271606,24.65999984741211,12920.150390625,28.632511138916016,-2885.54711,0.0,325.04,8893621.0,921031.0,999998.0,6.0
2021-03-08,2762.75,15820.1103515625,92.30999755859375,27.927499771118164,1.5959999561309814,25.469999313354492,12609.16015625,28.610815048217773,,,,8926657.0,884717.0,999998.0,7.0
2021-03-09,2932.2099609375,15853.08984375,91.95999908447266,28.283000946044922,1.5460000038146973,24.030000686645508,13073.8203125,28.5023136138916,4697.73348,0.0,477.82925,8914288.0,877173.0,999998.0,7.0
2021-03-10,2879.320068359375,15911.669921875,91.79000091552734,28.25200080871582,1.5199999809265137,22.559999465942383,13068.830078125,28.621658325195312,-303.99256,0.0,307.91529,8962964.0,862577.0,999998.0,7.0
2021-03-11,2997.1298828125,16179.5595703125,91.41999816894531,28.20199966430664,1.5269999504089355,21.90999984741211,13398.669921875,29.229246139526367,3969.62221,0.0,256.91,8939492.0,881770.0,999998.0,7.0
2021-03-12,2965.090087890625,16255.1796875,91.68000030517578,28.000999450683594,1.6349999904632568,20.690000534057617,13319.8603515625,29.348594665527344,2177.82243,0.0,295.65164,8942652.0,878306.0,999998.0,3.0
2021-03-15,3032.050048828125,16249.330078125,91.83000183105469,28.145700454711914,1.6069999933242798,20.030000686645508,13459.7099609375,29.27264404296875,-1094.65569,0.0,230.47772,8957636.0,867337.0,999998.0,37.0
2021-03-16,3070.320068359375,16313.16015625,91.87000274658203,28.176700592041016,1.621000051498413,19.790000915527344,13471.5703125,29.370298385620117,17.84199,0.0,401.66926,9044355.0,852951.0,999998.0,36.0
