date,SOX,TWII,DXY,USDTWD,US10Y,VIX,NASDAQ,ETF0050,foreign_net_bil,invest_net_bil,dealer_net_bil,margin_balance,short_balance,TXF_net,MXF_net,top5_net,top10_net,opt_call_net,opt_put_net,opt_net
2023-01-02,,,,30.64780044555664,,,,,,,,,,,,,,,,
2023-01-03,2500.989990234375,14224.1201171875,104.5199966430664,30.72010040283203,3.7929999828338623,22.899999618530273,10386.98046875,25.0609073638916,,,,6896022.0,618427.0,,,999998.0,-15.0,,,
2023-01-04,2569.4599609375,14199.1298828125,104.25,30.650299072265625,3.7090001106262207,22.010000228881836,10458.759765625,25.004337310791016,,,,6870639.0,618048.0,,,999998.0,-63.0,,,
2023-01-05,2518.52001953125,14301.0498046875,105.04000091552734,30.687999725341797,3.7200000286102295,22.459999084472656,10305.240234375,25.18536376953125,,,,6847223.0,612506.0,,,999998.0,-67.0,,,
2023-01-06,2636.10009765625,14373.33984375,103.87999725341797,30.62299919128418,3.569000005722046,21.1299991607666,10569.2900390625,25.298507690429688,,,,6785768.0,614910.0,,,999998.0,-46.0,,,
2023-01-09,2686.75,14752.2099609375,103.0,30.561500549316406,3.5169999599456787,21.969999313354492,10635.650390625,26.203641891479492,,,,6767846.0,607460.0,,,999998.0,-52.0,,,
2023-01-10,2721.2900390625,14802.9599609375,103.23999786376953,30.461999893188477,3.621000051498413,20.579999923706055,10742.6298828125,26.30546760559082,,,,6683950.0,602793.0,,,999998.0,-44.0,,,
2023-01-11,2755.360107421875,14751.4404296875,103.19000244140625,30.432600021362305,3.553999900817871,21.09000015258789,10931.669921875,26.328096389770508,,,,6617131.0,596532.0,,,999998.0,-61.0,,,
2023-01-12,2789.64990234375,14731.6396484375,102.25,30.434999465942383,3.4489998817443848,18.829999923706055,11001.099609375,26.21495246887207,,,,6566369.0,589480.0,,,999998.0,-42.0,,,
2023-01-13,2800.659912109375,14824.1298828125,102.19999694824219,30.32550048828125,3.510999917984009,18.350000381469727,11079.16015625,26.520435333251953,,,,6533287.0,576292.0,,,999998.0,-70.0,,,
2023-01-16,,14927.009765625,,30.279300689697266,,,,26.72409439086914,,,,6466350.0,568635.0,,,999998.0,-109.0,,,
2023-01-17,2807.47998046875,14932.9296875,102.38999938964844,30.32900047302246,3.5350000858306885,19.360000610351562,11095.1103515625,26.72409439086914,,,,6388316.0,560436.0,,,999998.0,-156.0,,,
2023-01-18,2789.469970703125,,102.36000061035156,30.27630043029785,3.375,20.34000015258789,10957.009765625,,,,,,,,,,,,,
2023-01-19,2710.43994140625,,102.05999755859375,30.184999465942383,3.3970000743865967,20.520000457763672,10852.26953125,,,,,,,,,,,,,
2023-01-20,2794.68994140625,,102.01000213623047,30.339000701904297,3.4839999675750732,19.850000381469727,11140.4296875,,,,,,,,,,,,,
2023-01-23,2934.830078125,,102.13999938964844,30.317699432373047,3.5250000953674316,19.809999465942383,11364.41015625,,,,,,,,,,,,,
2023-01-24,2913.739990234375,,101.91999816894531,30.292999267578125,3.4690001010894775,19.200000762939453,11334.26953125,,,,,,,,,,,,,
2023-01-25,2918.989990234375,,101.63999938964844,30.267499923706055,3.4619998931884766,19.079999923706055,11313.3603515625,,,,,,,,,,,,,
2023-01-26,2966.60009765625,,101.83999633789062,30.247600555419922,3.493000030517578,18.729999542236328,11512.41015625,,,,,,,,,,,,,
2023-01-27,2945.27001953125,,101.93000030517578,30.208799362182617,3.5179998874664307,18.510000228881836,11621.7099609375,,,,,,,,,,,,,
2023-01-30,2866.68994140625,15493.8203125,102.27999877929688,30.256000518798828,3.5510001182556152,19.940000534057617,11393.8095703125,27.9272518157959,,,,6310599.0,542895.0,,,999998.0,-148.0,,,
2023-01-31,2921.919921875,15265.2001953125,102.0999984741211,30.094999313354492,3.5290000438690186,19.399999618530273,11584.5498046875,27.371952056884766,,,,6281421.0,543932.0,,,999998.0,-147.0,,,
2023-02-01,3073.469970703125,15420.1298828125,101.22000122070312,30.0310001373291,3.3970000743865967,17.8700008392334,11816.3203125,27.533912658691406,560.54205,0.0,637.05,6297554.0,551981.0,,,999998.0,-94.0,,,
2023-02-02,3141.840087890625,15595.16015625,101.75,29.533000946044922,3.3959999084472656,18.729999542236328,12200.8203125,27.996667861938477,1705.10109,0.0,788.412,6335437.0,551128.0,,,999998.0,-196.0,,,
2023-02-03,3082.110107421875,15602.66015625,102.91999816894531,29.542999267578125,3.5320000648498535,18.329999923706055,12006.9501953125,27.996667861938477,-235.15038,0.0,371.11,6383044.0,548895.0,,,999998.0,-200.0,,,
2023-02-06,3029.739990234375,15392.8203125,103.62000274658203,29.96579933166504,3.634000062942505,19.43000030517578,11887.4501953125,27.59175682067871,-1023.88198,0.0,549.86266,6391419.0,541191.0,,,999998.0,-195.0,,,
2023-02-07,3124.14990234375,15400.91015625,103.43000030517578,29.998300552368164,3.6740000247955322,18.65999984741211,12113.7900390625,27.533912658691406,-94.60292,0.0,503.82,6415409.0,545614.0,,,999998.0,-195.0,,,
2023-02-08,3055.6298828125,15618.169921875,103.41000366210938,30.027099609375,3.6530001163482666,19.6299991607666,11910.51953125,27.96196174621582,1393.08491,0.0,295.81866,6414706.0,541285.0,,,999998.0,-215.0,,,
2023-02-09,3059.6201171875,15598.7099609375,103.22000122070312,30.041500091552734,3.683000087738037,20.709999084472656,11789.580078125,27.97353172302246,-628.01567,0.0,400.16027,6435681.0,539691.0,,,999998.0,-230.0,,,
2023-02-10,3011.14990234375,15586.650390625,103.62999725341797,30.003000259399414,3.74399995803833,20.530000686645508,11718.1201171875,27.996667861938477,-2199.07973,0.0,435.62322,6440626.0,541105.0,,,999998.0,-230.0,,,
2023-02-13,3057.320068359375,15544.2802734375,103.3499984741211,30.18079948425293,3.7170000076293945,20.34000015258789,11891.7900390625,27.938823699951172,-738.63132,0.0,656.19,6451187.0,530509.0,,,999998.0,-223.0,,,
2023-02-14,3121.6298828125,15654.48046875,103.2300033569336,30.219999313354492,3.760999917984009,18.90999984741211,11960.150390625,28.147062301635742,1250.96407,0.0,230.391,6439358.0,530719.0,,,999998.0,-213.0,,,
2023-02-15,3133.070068359375,15432.8896484375,103.91999816894531,30.248699188232422,3.809000015258789,18.229999542236328,12070.58984375,27.49920654296875,-1871.595,0.0,305.40746,6475422.0,530337.0,,,999998.0,-257.0,,,
2023-02-16,3055.239990234375,15550.5,103.86000061035156,30.302000045776367,3.8429999351501465,20.170000076293945,11855.830078125,27.83470344543457,1411.35391,0.0,668.12328,6480210.0,530313.0,,,999998.0,-189.0,,,
2023-02-17,3005.8701171875,15479.7001953125,103.86000061035156,30.253000259399414,3.828000068664551,20.020000457763672,11787.26953125,27.4760684967041,-492.89935,0.0,728.04697,6516033.0,531607.0,,,999998.0,-217.0,,,
