date,SOX,TWII,DXY,USDTWD,US10Y,VIX,NASDAQ,top5_net,top10_net,ETF0050,foreign_net_bil,invest_net_bil,dealer_net_bil,margin_balance,short_balance,TXF_net,MXF_net,opt_call_net,opt_put_net,opt_net,MA5,MA20,MA60,RSI14,MACD,MACD_signal,MACD_hist,margin_chg5,target_5d_return,target_signal,target_4w_return
2004-03-24,467.9136047363281,6213.53125,88.93000030517578,32.02299880981445,3.71399998664856,19.809999465942383,1909.47998046875,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0,
2004-03-25,485.0652770996094,6156.701171875,88.9000015258789,32.00299835205078,3.739000082015991,17.8799991607666,1967.1700439453125,,,,,,,,,,,,,,,,,,-4.533453525641562,-0.9066907051283124,-3.6267628205132496,,,0,
2004-03-26,479.0182189941406,6132.59228515625,88.88999938964844,32.01100158691406,3.8429999351501465,17.329999923706055,1960.02001953125,,,,,,,,,,,,,,,,,,-9.956857324996236,-2.716724029101897,-7.2401332958943385,,,0,
2004-03-29,487.3341979980469,6474.080078125,88.62999725341797,31.97800064086914,3.890000104904175,16.5,1992.5699462890625,,,,,,,,,,,,,,,,,,13.148697055636148,0.456360187845712,12.692336867790436,,,0,
2004-03-30,486.7944641113281,6494.6796875,88.43000030517578,31.95199966430664,3.901999950408936,16.280000686645508,2000.6300048828125,,,,,,,,,,,,,,6294.31689453125,,,,32.74477035749169,6.914042221774908,25.830728135716782,,,0,
2004-03-31,486.8843994140625,6522.15966796875,87.61000061035156,31.67300033569336,3.836999893188477,16.739999771118164,1994.219970703125,,,,,,,,,,,,,,6356.042578125,,,,49.91679465864672,15.514592709149273,34.40220194949745,,,0,
2004-04-01,495.0804443359375,6523.4599609375,87.20999908447266,31.73699951171875,3.8980000019073486,16.649999618530273,2015.010009765625,,,,,,,,,,,,,,6429.3943359375,,,,62.90553456550697,24.992781080420812,37.91275348508616,,,0,
2004-04-02,513.6114501953125,6545.509765625,88.51000213623047,31.69799995422364,4.139999866485596,15.640000343322754,2057.169921875,,,,,,,,,,,,,,6511.97783203125,,,,74.1239843301073,34.819021730358116,39.30496259974919,,,0,
2004-04-05,518.4491577148438,6682.69921875,89.22000122070312,31.70599937438965,4.21999979019165,14.970000267028809,2079.1201171875,,,,,,,,,,,,,,6553.70166015625,,,,93.01253827724304,46.4577250397351,46.554813237507936,,,0,
2004-04-06,507.82427978515625,6635.50927734375,88.75,31.74399948120117,4.171000003814697,15.31999969482422,2059.89990234375,,,,,,,,,,,,,,6581.867578125,,,,102.98685116322122,57.763550264432325,45.22330089878889,,,0,
